Company Name,Industry,Stage,Amount($),HeadQuarter,Funding Year,category
TheCollegeFever,brand marketing,Early Stage,250000.0,Bangalore,2018,E-Commerce & Marketplace
Happy Cow Dairy,agriculture,Early Stage,584000.0,Mumbai,2018,Food & Agriculture
MyLoanCare,credit,Series A to Series H,949000.0,Gurgaon,2018,Finance $ Banking
PayMe India,financial services,Angel and Grants,2000000.0,Noida,2018,Consulting & Services
Eunimart,e-commerce platforms,Early Stage,0.0,Hyderabad,2018,E-Commerce & Marketplace
Hasura,cloud infrastructure,Early Stage,1600000.0,Bengaluru,2018,Other
Tripshelf,internet,Early Stage,233600.0,Kalkaji,2018,Technology
Hyperdata.IO,market research,Angel and Grants,730000.0,Hyderabad,2018,E-Commerce & Marketplace
Freightwalla,information services,Early Stage,0.0,Mumbai,2018,Consulting & Services
Microchip Payments,mobile payments,Early Stage,0.0,Bangalore,2018,Other
BizCrum Infotech Pvt. Ltd.,b2b,Early Stage,0.0,Delhi,2018,Other
Emojifi,internet,Early Stage,0.0,Bengaluru,2018,Technology
Flock,apps,Early Stage,0.0,India,2018,Other
Freshboxx,food delivery,Early Stage,0.0,Hubli,2018,Food & Agriculture
Wide Mobility Mechatronics,industrial automation,Early Stage,0.0,Bangalore,2018,Autommotive $ Transportation
Pitstop,automotive,Early Stage,1460000.0,Bengaluru,2018,Autommotive $ Transportation
Mihuru,finance,Early Stage,150000.0,Mumbai,2018,Finance $ Banking
Fyle,accounting,Early Stage,1100000.0,Bengaluru,2018,Finance $ Banking
AppWharf,artificial intelligence,Early Stage,0.0,New Delhi,2018,Other
Antariksh Waste Ventures Pvt ltd,internet of things,Early Stage,7300.0,Chennai,2018,Technology
Cogoport,air transportation,Series A to Series H,6000000.0,Mumbai,2018,Autommotive $ Transportation
PaisaDukan,financial services,Early Stage,650000.0,Mumbai,2018,Consulting & Services
Sleepy Owl Coffee,food and beverage,Early Stage,511000.0,New Delhi,2018,Food & Agriculture
BlueJack,autonomous vehicles,Early Stage,934400.0,Delhi,2018,Autommotive $ Transportation
PregBuddy,enterprise software,Early Stage,0.0,Bengaluru,2018,Technology
AgNext Technologies,agriculture,Series A to Series H,0.0,Mohali,2018,Food & Agriculture
Pando,logistics,Early Stage,2000000.0,Chennai,2018,Autommotive $ Transportation
Mintifi,financial services,Early Stage,2000000.0,Mumbai,2018,Consulting & Services
Carcrew,automotive,Early Stage,2000000.0,Mumbai,2018,Autommotive $ Transportation
NicheAI,artificial intelligence,Angel and Grants,0.0,Hyderabad,2018,Other
Chariot Tech,internet of things,Early Stage,292000.0,New Delhi,2018,Technology
Ideal Insurance Brokers/ 121Policy.com,insurance,Early Stage,1000000.0,Kolkata,2018,Finance $ Banking
Loanzen,financial services,Early Stage,0.0,Bangalore,2018,Consulting & Services
Mojro Technologies,information technology,Early Stage,650000.0,Bengaluru,2018,Technology
Elemential,blockchain,Early Stage,1000000.0,Mumbai,2018,Other
Loadshare,industrial automation,Series A to Series H,5000000.0,Bengaluru,2018,Autommotive $ Transportation
Yumlane,food and beverage,Series A to Series H,4000000.0,Mumbai,2018,Food & Agriculture
Kriger Campus,education,Early Stage,438000.0,New Delhi,2018,Other
Pipa+Bella,e-commerce,Series A to Series H,1000000.0,Mumbai,2018,E-Commerce & Marketplace
Kaleidofin,financial services,Early Stage,2800000.0,Chennai,2018,Consulting & Services
Chakr Innovation,renewable energy,Early Stage,0.0,New Delhi,2018,Other
IndigoLearn,e-learning,Early Stage,150000.0,Hyderabad,2018,Other
UClean,clean energy,Early Stage,584000.0,India,2018,Other
Coutloot,e-commerce,Early Stage,1000000.0,Mumbai,2018,E-Commerce & Marketplace
Letstrack,apps,Early Stage,1700000.0,New Delhi,2018,Other
Pooltoo,transportation,Early Stage,0.0,New Delhi,2018,Autommotive $ Transportation
Finzy,financial services,Early Stage,1300000.0,Bangalore,2018,Consulting & Services
Fitternity,fitness,Early Stage,2000000.0,Mumbai,2018,Other
Keito,artificial intelligence,Early Stage,0.0,Pune,2018,Other
Tolet for Students,hospitality,Early Stage,73000.0,Jodhpur,2018,Other
Chai Kings,food and beverage,Early Stage,292000.0,Chennai,2018,Food & Agriculture
Dainik Jagran,media and entertainment,Early Stage,584000.0,Kanpur,2018,Other
Playtoome,broadcasting,Early Stage,292000.0,Bengaluru,2018,Other
ONGO Framework,b2b,Angel and Grants,1000000.0,Hyderabad,2018,Other
Notesgen,edtech,Early Stage,182500.0,New Delhi,2018,Technology
